0,0,0,0,0,0,0,0,0,0
Michael,409,1477,1516,1077,1749,1578,1225,0,0
Jim,202,621,570,459,736,705,632,607,487
Pam,154,488,543,349,613,510,565,342,513
Dwight,186,672,722,352,874,685,651,691,744
Jan,38,224,238,158,43,0,17,0,32
Michel,1,0,0,0,1,1,1,0,0
ToddPacker,3,15,0,0,0,6,5,13,14
Phyllis,11,66,85,68,152,116,136,100,93
Stanley,19,62,56,59,97,52,65,67,67
Oscar,29,66,49,47,178,136,161,175,195
Angela,19,97,174,133,191,111,150,124,258
Kevin,16,86,149,102,131,145,222,187,169
Ryan,33,141,134,164,150,97,161,122,1
Man,1,0,2,3,2,0,13,2,6
Roy,34,71,75,0,14,0,0,0,11
Meredith,13,21,30,39,80,59,66,72,79
love,1,0,0,0,0,0,0,0,0
TravelAgent,1,0,0,0,0,0,0,0,0
ManonPhone,3,0,0,0,0,0,0,0,0
Toby,11,59,102,109,65,90,93,90,95
Everybody,6,1,4,1,0,0,0,0,0
Lonny,5,3,8,0,0,0,0,0,0
Darryl,15,51,75,30,45,81,210,215,154
Teammates,1,0,0,0,0,0,0,0,0
MichaelandDwight,1,1,2,2,0,1,0,0,0
Warehouseworker,2,0,0,0,0,0,0,0,0
Madge,3,2,0,0,0,0,0,0,0
Worker,5,0,0,0,0,0,0,0,1
Katy,59,20,0,0,0,0,0,0,0
every,0,1,0,0,0,0,0,0,0
Kelly,0,79,108,52,126,104,134,84,2
Guyatbar,0,1,0,0,0,0,0,0,0
GuyAtBar,0,2,0,0,0,0,0,0,0
PamandJim,0,1,0,0,0,0,0,0,0
Employee,0,1,0,0,0,0,0,0,0
ChilisEmployee,0,1,0,0,0,0,0,0,0
Kevinscomputer,0,1,0,0,0,0,0,0,0
WarehouseGuy,0,1,0,0,0,1,1,0,0
Warehouseguy,0,2,0,0,0,0,0,0,0
Warehouseguys,0,1,0,0,0,0,0,0,0
Video,0,2,1,0,0,0,0,0,0
ManinVideo,0,1,0,0,0,0,0,0,0
Actor,0,2,0,0,0,0,0,0,0
You,0,1,0,0,0,0,0,0,0
Carol,0,45,30,0,0,0,0,0,0
Bill,0,2,0,0,0,0,0,0,0
Everyone,0,2,2,1,5,8,1,11,13
Crowd,0,9,5,0,0,0,0,0,2
song,0,1,0,0,0,0,0,0,0
Song,0,6,0,0,0,0,0,0,0
Sherri,0,11,0,0,0,0,0,0,0
Creed,0,43,46,50,49,30,61,22,35
Devon,0,8,0,0,0,0,0,0,0
Children,0,1,0,0,0,0,0,0,0
Kid,0,3,0,2,0,1,1,0,0
Ira,0,9,0,0,0,0,0,0,0
RyansVoicemail,0,1,0,0,0,0,0,0,0
Christian,0,19,0,0,0,0,0,0,0
Hostess,0,1,0,0,0,1,0,0,0
and,0,1,0,0,0,0,0,0,0
CaptainJack,0,30,0,0,0,0,0,0,0
Brenda,0,3,0,0,0,0,0,0,0
DarrylandKaty,0,1,0,0,0,0,0,0,0
your,0,2,0,0,0,0,0,0,0
JimandPam,0,1,0,0,1,0,2,0,0
you,0,1,2,0,0,0,0,0,0
real,0,1,1,0,0,0,0,0,0
BillyMerchant,0,17,0,0,0,0,0,0,0
Doctor,0,4,0,0,0,0,0,0,1
LabTech,0,3,0,0,0,0,0,0,0
think,0,1,0,0,0,0,0,0,0
know,0,1,1,0,0,0,0,0,0
Dana,0,8,0,0,0,0,0,0,0
HootersGirls,0,1,0,0,0,0,0,0,0
Phylis,0,1,0,0,1,0,0,0,0
so,0,2,2,0,0,0,0,0,0
Gil,0,2,4,0,0,0,0,0,0
Pamandothers,0,1,0,0,0,0,0,0,0
Ed,0,9,0,0,0,0,0,0,0
Packer,0,7,19,0,0,0,0,17,0
Todd,0,1,0,0,0,0,37,0,0
Jimsvoicemail,0,1,0,0,0,0,0,0,0
